property group allowed for purpose CFIHOS unique code,property grouping or decomposition purpose CFIHOS unique code,property grouping purpose code,property grouping purpose description,source standard CFIHOS unique code,source standard code,property group CFIHOS unique code,property group code,property group description,property to group assignment CFIHOS unique code,tag or equipment class CFIHOS unique code,tag or equipment class name,property CFIHOS unique code,property name,property sequence number,,,,,,,,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-42000475,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000219,S704-FLD-370,Bearings (general),CFIHOS-44000011,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,11,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000498,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000245,S733-FLD-94,Bearings,CFIHOS-44000012,CFIHOS-30000805,alternating current motor,CFIHOS-40001182,bearing lubrication specification,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,12,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000498,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000245,S733-FLD-94,Bearings,CFIHOS-44000013,CFIHOS-30000805,alternating current motor,CFIHOS-40001372,bearing operating life,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,13,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000455,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000199,S704-FLD-346,Temperature detection,CFIHOS-44000014,CFIHOS-30000805,alternating current motor,CFIHOS-40001353,bearing temperature detectors,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,14,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000482,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000226,S704-FLD-379,Temperature detection,CFIHOS-44000015,CFIHOS-30000805,alternating current motor,CFIHOS-40001353,bearing temperature detectors,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,15,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000501,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000248,S733-FLD-98,Instrumentation,CFIHOS-44000016,CFIHOS-30000805,alternating current motor,CFIHOS-40001353,bearing temperature detectors,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,16,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000448,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000192,S704-FLD-337,Bearings (general),CFIHOS-44000017,CFIHOS-30000805,alternating current motor,CFIHOS-40001364,bearing type,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,17,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000475,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000219,S704-FLD-370,Bearings (general),CFIHOS-44000018,CFIHOS-30000805,alternating current motor,CFIHOS-40001364,bearing type,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,18,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000443,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000187,S704-FLD-332,Line conductor terminal box,CFIHOS-44000019,CFIHOS-30000805,alternating current motor,CFIHOS-40000032,cable cross sectional area,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,19,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000470,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000214,S704-FLD-365,Line conductor terminal box,CFIHOS-44000020,CFIHOS-30000805,alternating current motor,CFIHOS-40000032,cable cross sectional area,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,20,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000452,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000196,S704-FLD-343,Air-to-water heat exchanger,CFIHOS-44000021,CFIHOS-30000805,alternating current motor,CFIHOS-40000906,cold air temperature at rated power,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,21,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000479,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000223,S704-FLD-376,Air-to-water heat exchanger,CFIHOS-44000022,CFIHOS-30000805,alternating current motor,CFIHOS-40000906,cold air temperature at rated power,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,22,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000387,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000131,S703-FLD-328,General,CFIHOS-44000023,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,23,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000409,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000153,S703-FLD-351,General,CFIHOS-44000024,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,24,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000432,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000176,S704-FLD-318,General,CFIHOS-44000025,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,25,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000459,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000203,S704-FLD-351,General,CFIHOS-44000026,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,26,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000256,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000234,S733-FLD-243,General information,CFIHOS-44000027,CFIHOS-30000805,alternating current motor,CFIHOS-40000928,conformity assessment system level,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,27,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000452,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000196,S704-FLD-343,Air-to-water heat exchanger,CFIHOS-44000028,CFIHOS-30000805,alternating current motor,CFIHOS-40001348,cooling water specification,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,28,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000479,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000223,S704-FLD-376,Air-to-water heat exchanger,CFIHOS-44000029,CFIHOS-30000805,alternating current motor,CFIHOS-40001348,cooling water specification,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,29,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000405,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000149,S703-FLD-346,Surface protection,CFIHOS-44000030,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,30,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000426,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000170,S703-FLD-369,Surface protection,CFIHOS-44000031,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,31,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000454,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000198,S704-FLD-345,Surface protection,CFIHOS-44000032,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,32,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000481,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000225,S704-FLD-378,Surface protection,CFIHOS-44000033,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,33,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000502,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000249,S733-FLD-99,Surface protection,CFIHOS-44000034,CFIHOS-30000805,alternating current motor,CFIHOS-40001329,corrosivity category,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,34,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000254,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000232,S733-FLD-170,Purchaser information,CFIHOS-44000035,CFIHOS-30000805,alternating current motor,CFIHOS-40000929,country region,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,35,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000433,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000177,S704-FLD-319,Driven equipment interface,CFIHOS-44000036,CFIHOS-30000805,alternating current motor,CFIHOS-40001358,coupling hub fit,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,36,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000460,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000204,S704-FLD-352,Driven equipment interface,CFIHOS-44000037,CFIHOS-30000805,alternating current motor,CFIHOS-40001358,coupling hub fit,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,37,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000448,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000192,S704-FLD-337,Bearings (general),CFIHOS-44000038,CFIHOS-30000805,alternating current motor,CFIHOS-40001346,coupling insulation,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,38,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000475,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000219,S704-FLD-370,Bearings (general),CFIHOS-44000039,CFIHOS-30000805,alternating current motor,CFIHOS-40001346,coupling insulation,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,39,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000433,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000177,S704-FLD-319,Driven equipment interface,CFIHOS-44000040,CFIHOS-30000805,alternating current motor,CFIHOS-40000067,coupling type,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,40,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000460,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000204,S704-FLD-352,Driven equipment interface,CFIHOS-44000041,CFIHOS-30000805,alternating current motor,CFIHOS-40000067,coupling type,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,41,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000399,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000143,S703-FLD-340,Terminal box,CFIHOS-44000042,CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,42,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000420,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000164,S703-FLD-363,Terminal box,CFIHOS-44000043,CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,43,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000445,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000189,S704-FLD-334,Space heater terminal box,CFIHOS-44000044,CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,44,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000472,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000216,S704-FLD-367,Space heater terminal box,CFIHOS-44000045,CFIHOS-30000805,alternating current motor,CFIHOS-40000492,cross section area,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,45,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000465,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000209,S704-FLD-358,Operating performance,CFIHOS-44000046,CFIHOS-30000805,alternating current motor,CFIHOS-40000916,current at lower limit continuous operating speed at maximum torque,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,46,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000465,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000209,S704-FLD-358,Operating performance,CFIHOS-44000047,CFIHOS-30000805,alternating current motor,CFIHOS-40000915,current at upper limit continuous operating speed at maximum torque,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,47,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000447,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000191,S704-FLD-336,Differential protection,CFIHOS-44000048,CFIHOS-30000805,alternating current motor,CFIHOS-40001368,current transformer class,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,48,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000474,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000218,S704-FLD-369,Differential protection,CFIHOS-44000049,CFIHOS-30000805,alternating current motor,CFIHOS-40001368,current transformer class,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,49,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000447,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000191,S704-FLD-336,Differential protection,CFIHOS-44000050,CFIHOS-30000805,alternating current motor,CFIHOS-40001357,current transformer construction type,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,50,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000474,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000218,S704-FLD-369,Differential protection,CFIHOS-44000051,CFIHOS-30000805,alternating current motor,CFIHOS-40001357,current transformer construction type,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,51,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000447,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000191,S704-FLD-336,Differential protection,CFIHOS-44000052,CFIHOS-30000805,alternating current motor,CFIHOS-40001356,current transformer location,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,52,source_reference_record,source_reference_record_unreviewed
