item_no,description,unit,rate,currency,raw_line,page,line,data_origin,is_real,source_artifact_id,annotation_origin,verification_status
1.8.2,Group B,Point,1339,INR,1.8.2 Group B Point 1339 ,14,4,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.8.3,Group C,Point,1680,INR,1.8.3 Group C Point 1680 ,14,5,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.10.1,Group A,Point,1189,INR,1.10.1 Group A Point 1189 ,14,32,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.10.2,Group B,Point,1362,INR,1.10.2 Group B Point 1362 ,14,33,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.10.3,Group C,Point,1704,INR,1.10.3 Group C Point 1704 ,14,34,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.14.1,2 X 1.5 sq. mm + 1 X 1.5 sq. mm earth wire,Metre,267,INR,1.14.1 2 X 1.5 sq. mm + 1 X 1.5 sq. mm earth wire Metre 267 ,15,8,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.14.2,2 X 2.5 sq. mm + 1 X 2.5 sq. mm earth wire,Metre,311,INR,1.14.2 2 X 2.5 sq. mm + 1 X 2.5 sq. mm earth wire Metre 311 ,15,9,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.14.3,2 X 4 sq. mm + 1 X 4 sq. mm earth wire,Metre,4508,INR,1.14.3 2 X 4 sq. mm + 1 X 4 sq. mm earth wire Metre 4508 ,15,10,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.14.4,2 X 6 sq. mm + 1 X 6 sq. mm earth wire,Metre,4525,INR,1.14.4 2 X 6 sq. mm + 1 X 6 sq. mm earth wire Metre 4525 ,15,11,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.14.5,2 X 10 sq. mm + 1 X 6 sq. mm earth wire,Metre,4279,INR,1.14.5 2 X 10 sq. mm + 1 X 6 sq. mm earth wire Metre 4279 ,15,12,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.14.6,2 X 16 sq. mm + 1 X 6 sq. mm earth wire,Metre,832,INR,1.14.6 2 X 16 sq. mm + 1 X 6 sq. mm earth wire Metre 832 ,15,13,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.14.7,4 X 2.5 sq. mm + 2 X 2.5 sq. mm earth wire,Metre,452,INR,1.14.7 4 X 2.5 sq. mm + 2 X 2.5 sq. mm earth wire Metre 452 ,15,14,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.14.8,4 X 4 sq. mm + 2 X 4 sq. mm earth wire,Metre,587,INR,1.14.8 4 X 4 sq. mm + 2 X 4 sq. mm earth wire Metre 587 ,15,15,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.14.9,4 X 6 sq. mm + 2 X 6 sq. mm earth wire,Metre,813,INR,1.14.9 4 X 6 sq. mm + 2 X 6 sq. mm earth wire Metre 813 ,15,16,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.14.10,4 X 10 sq. mm + 2 X 6 sq. mm earth wire,Metre,1078,INR,1.14.10 4 X 10 sq. mm + 2 X 6  sq. mm earth wire Metre 1078 ,15,17,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.14.11,4 X 16 sq. mm + 2 X 6 sq. mm earth wire,Metre,1454,INR,1.14.11 4 X 16 sq. mm + 2 X 6 sq. mm earth wire Metre 1454 ,15,18,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.15.1,Group A,Point,687,INR,1.15.1 Group A Point 687 ,15,26,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.15.2,Group B,Point,752,INR,1.15.2 Group B Point 752 ,15,27,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.15.3,Group C,Point,1064,INR,1.15.3 Group C Point 1064 ,15,28,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.1,1 x 1.5 sq. mm,Metre,51,INR,1.17.1 1 x 1.5 sq. mm Metre 51 ,16,7,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.2,2 x 1.5 sq. mm,Metre,77,INR,1.17.2 2 x 1.5 sq. mm Metre 77 ,16,8,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.3,3 x 1.5 sq. mm,Metre,104,INR,1.17.3 3 x 1.5 sq. mm Metre 104 ,16,9,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.4,4 x 1.5 sq. mm,Metre,130,INR,1.17.4 4 x 1.5 sq. mm Metre 130 ,16,10,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.5,5 x 1.5 sq. mm,Metre,169,INR,1.17.5 5 x 1.5 sq. mm Metre 169 ,16,11,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.6,6 x 1.5 sq. mm,Metre,195,INR,1.17.6 6 x 1.5 sq. mm Metre 195 ,16,12,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.7,7 x 1.5 sq. mm,Metre,234,INR,1.17.7 7 x 1.5 sq. mm Metre 234 ,16,13,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.8,8 x 1.5 sq. mm,Metre,260,INR,1.17.8 8 x 1.5 sq. mm Metre 260 ,16,14,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.9,9 x 1.5 sq. mm,Metre,311,INR,1.17.9 9 x 1.5 sq. mm Metre 311 ,16,15,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.10,10 x 1.5 sq. mm,Metre,338,INR,1.17.10 10 x 1.5 sq. mm Metre 338 ,16,16,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.11,2 x 2.5 sq. mm,Metre,107,INR,1.17.11 2 x 2.5 sq. mm Metre 107 ,16,17,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.12,3 x 2.5 sq. mm,Metre,148,INR,1.17.12 3 x 2.5 sq. mm Metre 148 ,16,18,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.13,4 x 2.5 sq. mm,Metre,189,INR,1.17.13 4 x 2.5 sq. mm Metre 189 ,16,19,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.14,5 x 2.5 sq. mm,Metre,242,INR,1.17.14 5 x 2.5 sq. mm Metre 242 ,16,20,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.15,6 x 2.5 sq. mm,Metre,283,INR,1.17.15 6 x 2.5 sq. mm Metre 283 ,16,21,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.16,7 x 2.5 sq. mm,Metre,337,INR,1.17.16 7 x 2.5 sq. mm Metre 337 ,16,22,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.17,8 x 2.5 sq. mm,Metre,378,INR,1.17.17 8 x 2.5 sq. mm Metre 378 ,16,23,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.18,9 x 2.5 sq. mm,Metre,443,INR,1.17.18 9 x 2.5 sq. mm Metre 443 ,16,24,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.19,10 x 2.5 sq. mm,Metre,484,INR,1.17.19 10 x 2.5 sq. mm Metre 484 ,16,25,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.20,2 x 4 sq. mm,Metre,160,INR,1.17.20 2 x 4 sq. mm Metre 160 ,16,26,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.21,3 x 4 sq. mm,Metre,4357,INR,1.17.21 3 x 4 sq. mm Metre 4357 ,16,27,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.22,4 x 4 sq. mm,Metre,296,INR,1.17.22 4 x 4 sq. mm Metre 296 ,17,3,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.23,5 x 4 sq. mm,Metre,362,INR,1.17.23 5 x 4 sq. mm Metre 362 ,17,4,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.24,6 x 4 sq. mm,Metre,424,INR,1.17.24 6 x 4 sq. mm Metre 424 ,17,5,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.25,7 x 4 sq. mm,Metre,488,INR,1.17.25 7 x 4 sq. mm Metre 488 ,17,6,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.26,8 x 4 sq. mm,Metre,550,INR,1.17.26 8 x 4 sq. mm Metre 550 ,17,7,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.27,9 x 4 sq. mm,Metre,616,INR,1.17.27 9 x 4 sq. mm Metre 616 ,17,8,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.28,10 x 4 sq. mm,Metre,690,INR,1.17.28 10 x 4 sq. mm Metre 690 ,17,9,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.29,2 x 6 sq. mm,Metre,234,INR,1.17.29 2 x 6 sq. mm Metre 234 ,17,10,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.30,3 x 6 sq. mm,Metre,326,INR,1.17.30 3 x 6 sq. mm Metre 326 ,17,11,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.31,4 x 6 sq. mm,Metre,431,INR,1.17.31 4 x 6 sq. mm Metre 431 ,17,12,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.32,5 x 6 sq. mm,Metre,524,INR,1.17.32 5 x 6 sq. mm Metre 524 ,17,13,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.33,6 x 6 sq. mm,Metre,641,INR,1.17.33 6 x 6 sq. mm Metre 641 ,17,14,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.34,7 x 6 sq. mm,Metre,733,INR,1.17.34 7 x 6 sq. mm Metre 733 ,17,15,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.35,8 x 6 sq. mm,Metre,838,INR,1.17.35 8 x 6 sq. mm Metre 838 ,17,16,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.36,9 x 6 sq. mm,Metre,930,INR,1.17.36 9 x 6 sq. mm Metre 930 ,17,17,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.17.37,10 x 6 sq. mm,Metre,1029,INR,1.17.37 10 x 6 sq. mm Metre 1029 ,17,18,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.18.1,1 Pair,Metre,33,INR,1.18.1 1 Pair Metre 33 ,17,24,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.18.2,2 Pair,Metre,39,INR,1.18.2 2 Pair Metre 39 ,17,25,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.18.3,4 Pair,Metre,53,INR,1.18.3 4 Pair Metre 53 ,17,26,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.20.1,20 mm,Metre,254,INR,1.20.1 20 mm Metre 254 ,18,9,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.20.2,25 mm,Metre,289,INR,1.20.2 25 mm Metre 289 ,18,10,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.20.3,32 mm,Metre,379,INR,1.20.3 32 mm Metre 379 ,18,11,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.20.4,40 mm,Metre,515,INR,1.20.4 40 mm Metre 515 ,18,12,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.20.5,50 mm,Metre,634,INR,1.20.5 50 mm Metre 634 ,18,13,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.21.1,20 mm,Metre,151,INR,1.21.1 20 mm Metre 151 ,18,19,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.21.2,25 mm,Metre,168,INR,1.21.2 25 mm Metre 168 ,18,20,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.21.3,32 mm,Metre,209,INR,1.21.3 32 mm Metre 209 ,18,21,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.21.4,40 mm,Metre,257,INR,1.21.4 40 mm Metre 257 ,18,22,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.21.5,50 mm,Metre,329,INR,1.21.5 50 mm Metre 329 ,18,23,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.22.1,75 mm X 75 mm X 60 mm deep,Each,229,INR,1.22.1 75 mm X 75 mm X 60 mm deep Each 229 ,18,29,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.22.2,100 mm X 100 mm X 60 mm deep,Each,245,INR,1.22.2 100 mm X 100 mm X 60 mm deep Each 245 ,18,30,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.22.3,150 mm X 75 mm X 60 mm deep,Each,252,INR,1.22.3 150 mm X 75 mm X 60 mm deep Each 252 ,18,31,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.22.4,150 mm X 150 mm X 60 mm deep,Each,360,INR,1.22.4 150 mm X 150 mm X 60 mm deep Each 360 ,18,32,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.22.5,180 mm X 100 mm X 60 mm deep,Each,282,INR,1.22.5 180 mm X 100 mm X 60 mm deep Each 282 ,18,33,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.22.6,200 mm X 125 mm X 60 mm deep,Each,372,INR,1.22.6 200 mm X 125 mm X 60 mm deep Each 372 ,18,34,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.22.7,200 mm X 150 mm X 60 mm deep,Each,406,INR,1.22.7 200 mm X 150 mm X 60 mm deep Each 406 ,18,35,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.22.8,200 mm X 150 mm X 75 mm deep,Each,414,INR,1.22.8 200 mm X 150 mm X 75 mm deep Each 414 ,19,3,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.22.9,200 mm X 250 mm X 60 mm deep,Each,528,INR,1.22.9 200 mm X 250 mm X 60 mm deep Each 528 ,19,4,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.22.10,200 mm X 250 mm X 75 mm deep,Each,549,INR,1.22.10 200 mm X 250 mm X 75 mm deep Each 549 ,19,5,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.22.11,200 mm X 150 mm X 100 mm deep,Each,469,INR,1.22.11 200 mm X 150 mm X 100 mm deep Each 469 ,19,6,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.22.12,200 mm X 250 mm X 100 mm deep,Each,568,INR,1.22.12 200 mm X 250 mm X 100 mm deep Each 568 ,19,7,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.22.13,200 mm X 300 mm X 60 mm deep,Each,587,INR,1.22.13 200 mm X 300 mm X 60 mm deep Each 587 ,19,8,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.22.14,200 mm X 300 mm X 100 mm deep,Each,625,INR,1.22.14 200 mm X 300 mm X 100 mm deep Each 625 ,19,9,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
1.22.15,250 mm X 300 mm X 60 mm deep,Each,673,INR,1.22.15 250 mm X 300 mm X 60 mm deep Each 673 ,19,10,real,True,sha256:dc58bcdf21a288b9f21c605684be24ed4e38695d9c31d99e0c928e5a4b7a4691,machine_text_pattern,machine_extracted_unverified
